"List of character request mods:","","https://docs.google.com/spreadsheets/d/1wmzYciv3ZW6tW2Jf4KwDvmPXGi6aI_0wTBUt1srC9lQ/edit?gid=841808658#gid=841808658","","","","","","","",""
"All event mods (excl. FEA) are timed.","","","","","","","","","",""
"Category","Name","Availability","","","","","","","",""
"Unit","Char's Zaku II (THE ORIGIN)","Permanent","","","","","","","",""
"Unit","Perfect Zeong","Timed","","","","","","","",""
"Unit","Gundam Full Armor","Timed","","","","","","","",""
"Unit","Hildolfr","Timed","","","","","","","",""
"Unit","Big-Rang","Timed","","","","","","","",""
"Unit","Herbert Von Kuspen's Gelgoog","Timed","","","","","","","",""
"Unit","Gundam Ez8","Timed","","","","","","","",""
"Unit","Gouf Custom","Timed","","","","","","","",""
"Unit","Apsaras III","Timed","","","","","","","",""
"Unit","Gundam NT-1 (Chobham Armor Type)","Permanent","","","","","","","",""
"Unit","Kampfer","Permanent","","","","","","","",""
"Unit","Gundam Pixy & Efreet","Timed","","","","","","","",""
"Unit","Blue Destiny Unit-2 [EXAM]","Permanent","","","","","","","",""
"Unit","Blue Destiny Unit-3 [EXAM]","Permanent","","","","","","","",""
"Unit","Gundam Full Armor (Thunderbolt)","Permanent","","","","","","","",""
"Unit","Psycho Zaku","Permanent","","","","","","","",""
"Unit","Atlas Gundam","Timed","","","","","","","",""
"Unit","Guncannon Aqua","Timed","","","","","","","",""
"Unit","Acguy Recon Type","Timed","","","","","","","",""
"Unit","Grublo (Thunderbolt)","Timed","","","","","","","",""
"Unit","GQuuuuuuX (Omega Psycommu)","Permanent","","","","","","","",""
"Unit","Red Gundam(0085)","Permanent","","","","","","","",""
"Unit","GQuuuuuuX","Permanent","","","","","","","",""
"Unit","Gundam GP01Fb","Permanent","","","","","","","",""
"Unit","Gundam GP03","Permanent","","","","","","","",""
"Unit","Gundam GP04","Permanent","","","","","","","",""
"Unit","Val Walo","Permanent","","","","","","","",""
"Unit","Neue Ziel","Permanent","","","","","","","",""
"Unit","Hyaku Shiki","Timed","","","","","","","",""
